segments,variable,value
Canada4049,R,3.602562
Canada4050,R,0.478562
Canada4051,R,4.168562
Canada4052,R,0.730562
Canada4053,R,0.623562
Canada4054,R,0.562562
Canada4055,R,0.412562
Canada4056,R,3.591562
Canada3409,R,0.012963
Canada5885,R,0.149757
Canada3453,R,3.4389148
Canada3454,R,0.4119148
Canada3455,R,3.3799148
Canada5121,R,0.145266
Canada5124,R,0.447266
Canada5125,R,0.483266
Canada5126,R,0.557266
Canada5127,R,0.445266
Canada5129,R,0.255266
Canada5130,R,0.207266
Canada5131,R,0.110266
Canada5133,R,0.375221
Canada5134,R,0.393221
Canada5135,R,0.293221
Canada5163,R,0.341221
Canada5164,R,0.226221
Canada5182,R,0.365468
Canada5187,R,0.417468
Canada5188,R,0.522468
Canada5224,R,0.224221
Canada5225,R,3.341221
Canada5226,R,0.309468
Canada3471,R,0.3366186
Canada5189,R,0.384468
Canada5190,R,0.340468
Canada5183,R,0.379539
Canada5185,R,0.357539
Canada5222,R,0.369982
Canada3470,R,3.492954
Canada3472,R,0.3726186
Canada3473,R,0.3256186
Canada3474,R,3.3856186
Canada3475,R,3.384514
Canada3476,R,3.37189
Canada3477,R,3.36089
Canada3478,R,3.30289
Canada3479,R,3.31389
Canada3480,R,3.39289
Canada3481,R,0.364514
Canada3482,R,0.3536186
Canada3483,R,0.4428175
Canada3486,R,0.4598175
Canada3487,R,0.4578175
Canada3491,R,0.28889
Canada3492,R,0.62614
Canada3493,R,0.64414
Canada5200,R,0.244954
Canada5201,R,0.215954
Canada5205,R,0.3556186
Canada5219,R,0.255721
Canada5220,R,0.374721
Canada5223,R,3.353954
Canada5227,R,0.486468
Canada5228,R,0.215954
Canada5229,R,0.412954
Canada5230,R,0.438954
Canada5231,R,0.288954
Canada5232,R,0.352954
Canada5233,R,3.403721
Canada5234,R,0.255721
Canada4037,R,0.2695
Canada4038,R,0.3065
Canada4042,R,0.0055768
Canada4073,R,0.163572
Canada4075,R,0.2816035
Canada4076,R,0.5526035
Canada4077,R,0.5296035
Canada4043,R,0.741572
Canada4070,R,0.412572
Canada4071,R,0.398572
Canada4072,R,0.538572
Canada7731,R,0.3655768
Croatia484,R,0.4135703
Croatia485,R,0.129029
Croatia9089,R,0.2559351
Croatia9095,R,0.330029
Croatia9112,R,0.1177807
Croatia9128,R,0.1208066
Croatia9132,R,0.28880267
Croatia9136,R,0.3228066
Denmark9018,R,0.3194
Denmark9022,R,0.2394
Denmark9023,R,0.1860769
Denmark9025,R,0.2914
Denmark9026,R,0.9094
Denmark9027,R,0.3714
Denmark9028,R,0.4154
Denmark9029,R,0.3994
Denmark9030,R,0.1824
Denmark9031,R,0.139926
Denmark9032,R,0.3700769
Finland2923,R,0.515392
France8991,R,0.002278
France8992,R,0.354278
France8994,R,0.12971489
France8995,R,0.12371489
France8996,R,0.11371489
France8997,R,0.002278
France8998,R,0.235278
France8999,R,0.361278
France9000,R,0.326278
France9001,R,0.002278
Italy479,R,0.2745703
Italy476,R,0.2387347
Italy477,R,0.2677347
Italy478,R,0.2667347
Italy480,R,0.2747347
Italy9007,R,0.0028551
Italy9008,R,0.002278
Italy9009,R,0.3381201
Italy9010,R,0.0021201
Italy9011,R,0.0021201
Italy9012,R,0.0021201
Italy9015,R,0.150939463
Italy9016,R,0.1521201
KoreaRep11206,R,0.21369
KoreaRep11207,R,0.20769
Poland2992,R,6.4729e-4
Poland2993,R,0.0023614
Poland2994,R,0.15825272
Poland2990,R,0.27264729
Poland2998,R,0.1811787
Poland2997,R,0.2051787
Poland2999,R,0
Romania559,R,0.15866450000000001
Romania560,R,0.1796645
Romania561,R,0.2166645
Romania562,R,0.2106645
RussianFederation2989,R,0.267338
RussianFederation2991,R,0.164338
Slovenia481,R,0.2715703
Slovenia483,R,0.2485703
Slovenia482,R,0.2525703
Spain8910,R,0.1574392
Spain8913,R,0.4154392
Spain8854,R,0.1524392
Spain8855,R,0.1884392
Spain8856,R,0.3024392
Spain8858,R,0.0024392
Spain8890,R,0.2294392
Spain8891,R,0.3274392
Spain8892,R,0.1254392
Spain8893,R,0.3154392
Spain8894,R,0.4824392
Spain8895,R,0.4234392
Spain8896,R,0.5744392
Spain8909,R,0.2424392
Spain8911,R,0.5714392
Spain8912,R,0.2754392
Sweden2920,R,0.617489
Ukraine565,R,0.2306645
UnitedStates3495,R,0.28014
Yugoslavia488,R,0.0048953
Denmark3051,R,0.2407919
Denmark3052,R,0.3002995
Denmark3053,R,0.554675
Denmark3054,R,0.409675
Denmark3055,R,0.230675
Denmark3059,R,0.2592995
Denmark8924,R,0.2372995
Denmark8927,R,0.502675
Denmark8929,R,0.292675
Denmark3056,R,0.666675
Denmark3057,R,0.449675
Denmark3058,R,0.479675
Denmark8930,R,0.318675
Denmark8931,R,0.193758
Denmark3046,R,0.3857919
Denmark3049,R,0.1997919
Denmark3047,R,0.3667919
Denmark3048,R,0.9497919
Denmark3050,R,3.4307919
Denmark8977,R,0.5397919
Denmark3039,R,0.2092353
Denmark3040,R,0.2192353
Denmark3041,R,0.2402353
Denmark3042,R,0.2422353
Denmark3043,R,0.2112353
Denmark3045,R,0.1952353
Denmark9019,R,0.21262
Denmark9020,R,0.37862
Denmark9021,R,0.24362
Denmark9035,R,0.1861021
Denmark9033,R,0.3790769
Denmark9034,R,0.5510769
Denmark9037,R,0.4120769
Denmark9039,R,0.5950769
Denmark9040,R,0.3020769
Denmark3063,R,0.4773292
Denmark3064,R,0.7443292
Denmark3065,R,0.6153292
Denmark3066,R,0.3743292
Denmark3067,R,0.3043292
Denmark3068,R,0.3043292
Denmark3069,R,0.2743292
Denmark3070,R,0.2663292
Denmark3071,R,0.2663292
Denmark3072,R,0.2863292
Denmark9024,R,0.5500769
Denmark9038,R,0.4600769
Denmark8978,R,0.6775312
Denmark8979,R,0.4832353
Denmark8980,R,0.5722353
Denmark8981,R,0.4542353
Denmark8983,R,0.2689999
Denmark8984,R,0.1859999
Denmark8985,R,0.5419999
Denmark8988,R,0.4699999
Denmark8976,R,0.6751039
Denmark9063,R,0.4320474
Denmark9064,R,3.5490474
Denmark9065,R,0.2740474
Denmark8943,R,0.2055312
Denmark3036,R,0.8405312
Denmark3037,R,0.2205312
Denmark3038,R,0.6645312
Denmark8939,R,0.4655312
Denmark8940,R,0.4525312
Denmark8941,R,0.7375312
Denmark8942,R,0.7825312
Denmark9045,R,0.1734864
Finland2926,R,0.37952
Finland2941,R,0.237917
Finland2942,R,0.336771
Finland2934,R,0.269806
Finland2936,R,0.351125
Finland9196,R,0.269806
Finland2939,R,0.535682
France3,R,0.1660174
France6,R,0.1600174
France3219,R,0.2848767
France3220,R,0.0018767
France3221,R,0.2060174
France4,R,0.1740174
France5,R,0.1810174
France7,R,0.3548519
France8,R,0.2068519
France9,R,0.1618519
France10,R,0.1760174
France11,R,0.2908519
France12,R,0.2808519
France13,R,0.2988519
France14,R,0.2278519
France19,R,0.1728519
France15,R,0.1828519
France16,R,0.3608519
France20,R,0
France21,R,0.1968519
France22,R,0.2238519
France23,R,0.2228519
France24,R,0.2127167
France25,R,0.2377167
France27,R,0.1657167
France28,R,0.1527167
France29,R,0.1737167
France30,R,0.1627167
France32,R,0.3237167
France359,R,0.2744691
France360,R,0.1304691
France361,R,0.0014691
France362,R,0.0014691
France364,R,0.2601292
France365,R,0.2781292
France367,R,0.2511292
France369,R,0
France370,R,0
France371,R,0.2651292
France372,R,0.2131292
France374,R,0.1961292
France401,R,0.4226543
France378,R,0.299815
France379,R,0
France381,R,3.501815
France382,R,0.337815
France383,R,0
France384,R,0.342815
France385,R,0.238815
France386,R,0.1425094
France387,R,0.4405094
France388,R,0.4495094
France389,R,0.4045094
France390,R,0.1345094
France392,R,0.1095405
France393,R,0.2445405
France394,R,0.2555405
France395,R,0.2735405
France396,R,0.3985405
France397,R,0.2265405
France398,R,0.2336543
France400,R,0.2366543
Germany3019,R,0.23082705
Germany3031,R,0.23282705
Germany3007,R,0.2191495
Germany3008,R,0
Germany3009,R,0
Germany3010,R,0
Germany3012,R,0
Germany3013,R,0.3791495
Germany3016,R,0.198731
Germany3017,R,0.218731
Germany3020,R,0.22982705
Germany3021,R,0.22982705
Germany3022,R,0.22982705
Germany3024,R,0.1769249
Germany9053,R,0.3671495
Germany9054,R,0.2361495
Italy470,R,0.2655703
Italy472,R,0
Italy468,R,0.0071558
Italy463,R,0.14925845
Italy464,R,0.14825845000000001
Italy465,R,0.0071558
Italy466,R,0.3582031
Italy402,R,0.2466543
Italy403,R,0.2339967
Italy404,R,0.232142
Italy405,R,0.13371489
Italy406,R,0.16871489
Italy407,R,0.26071489
Italy410,R,0.28871489
Italy411,R,0.17671489
Italy413,R,0.2045288
Italy415,R,0.1725288
Italy416,R,0.5785288
Italy9046,R,0.28571489
Italy458,R,0.14410052
Italy444,R,0.1614172
Italy445,R,0.1904172
Italy446,R,0.1444172
Italy447,R,0.1224172
Italy448,R,0.12728039
Italy449,R,0.22328039
Italy450,R,0.33328039
Italy451,R,0.3034172
Italy452,R,0.14021559
Italy453,R,0.4044172
Italy454,R,0.19121559
Italy455,R,0.29921559
Italy456,R,0.24121559
Italy457,R,0.28121559
Italy422,R,0.1399313
Italy423,R,0.1839313
Italy425,R,0.2769313
Italy426,R,0.2479634
Italy427,R,0.32610052
Italy428,R,0.32510052
Italy429,R,0.22110052
Italy430,R,0.14910052
Italy431,R,0.34010052
Italy432,R,0.11580069
Italy433,R,0.33280069
Italy443,R,0.2414172
Italy434,R,0.11580069
Italy442,R,0.1274172
Italy435,R,0.2457604
Italy436,R,0.1147604
Italy437,R,0.2257604
Italy438,R,0.2327604
Italy439,R,0.2604172
Italy440,R,0.2764172
Italy441,R,0.2444172
Italy9071,R,0.4855124
Italy9072,R,0.3355667
Italy9074,R,0.3535124
Italy9075,R,0.3302074
Italy9076,R,0.2789581
Italy9077,R,0.1674683
Italy9073,R,0.1149703
Italy9078,R,0.1734683
Italy9079,R,0.3674683
Italy9080,R,0.1429581
Italy9081,R,0.1319581
Italy9082,R,0.1199703
Italy9083,R,0.1409703
Italy9084,R,0.1864683
Italy9085,R,0.2984683
Italy461,R,0.13525845
Italy417,R,0.3145288
Italy418,R,0.2835288
Italy419,R,0.1525288
Italy420,R,0.1749313
Italy462,R,0.30925845
Italy467,R,0
Italy469,R,0
Italy9059,R,0.0071558
Monaco399,R,0.3356543
Poland3003,R,0
Portugal249,R,0.2783851
RussianFederation2944,R,0.209121
RussianFederation2744,R,0.292671
Spain358,R,0.2874691
Spain322,R,0.20433172
Spain325,R,0.20233172
Spain326,R,3.3172e-4
Spain327,R,0.12833172
Spain328,R,0.33433172
Spain329,R,0.22133172
Spain330,R,0.59033172
Spain331,R,0.33833172
Spain332,R,0
Spain333,R,0.31033172
Spain334,R,0.46333172
Spain335,R,0.32433172
Spain336,R,0.45433172
Spain337,R,0.53933172
Spain338,R,0.40333172
Spain339,R,0.40533172
Spain340,R,0.26933172
Spain341,R,0.40433172
Spain342,R,0.41833172
Spain343,R,0.39333172
Spain344,R,0.28233172
Spain345,R,0.30033172
Spain346,R,0.3144691
Spain347,R,0.3114691
Spain348,R,0.2764691
Spain349,R,0.2604691
Spain350,R,0.2614691
Spain351,R,0.2904691
Spain352,R,0.1444691
Spain353,R,0.3684691
Spain354,R,0.5114691
Spain355,R,0.1724691
Spain356,R,0.5614691
Spain357,R,0.1804691
Spain316,R,0.5129551
Spain317,R,0.2029551
Spain320,R,0.5329551
Spain321,R,0.3969551
Spain323,R,0.22033172
Spain324,R,0.2969551
Spain293,R,0.2099551
Spain296,R,0.4189551
Spain297,R,0.3539551
Spain298,R,0.4419551
Spain299,R,0.2229551
Spain300,R,0.4039551
Spain301,R,0.2459551
Spain302,R,0.1389551
Spain304,R,0.2629551
Spain305,R,0.2569551
Spain306,R,0.2629551
Spain307,R,0.2719551
Spain308,R,3.4399551
Spain309,R,0.5589551
Spain310,R,0.2259551
Spain313,R,0.2219551
Spain314,R,0.4719551
Spain315,R,0.3179551
Spain318,R,0.3389551
Spain319,R,0.8939551
Spain303,R,0.4849551
Spain288,R,0.2869316
Spain289,R,0.4729316
Spain290,R,0.2889551
Spain291,R,0.3409551
Spain292,R,0.4079551
Spain294,R,0.2499551
Spain295,R,0.3379551
Spain250,R,0.2613851
Spain251,R,0.2603851
Spain252,R,0.2763851
Spain253,R,0.3473851
Spain254,R,0.3483851
Spain255,R,0
Spain256,R,0.3833851
Spain257,R,0.0013851
Spain258,R,0.013951
Spain259,R,0.01692
Spain260,R,0.582893
Spain261,R,0.286893
Spain262,R,0.311893
Spain263,R,0.306893
Spain264,R,0.223893
Spain265,R,0.1373174
Spain266,R,0.2453174
Spain267,R,0.3533174
Spain268,R,0.3413174
Spain269,R,0.2626963
Spain271,R,0.3876963
Spain272,R,0.2936963
Spain273,R,0.4526963
Spain274,R,0.2956963
Spain275,R,0
Spain276,R,0.3054278
Spain277,R,0.1524278
Spain278,R,0.1554278
Spain279,R,0.3724278
Spain280,R,0.1344278
Spain281,R,0.2554278
Spain282,R,0.2454278
Spain283,R,0.1109316
Spain284,R,0.1299316
Spain285,R,0.1219316
Spain286,R,0.2229316
Spain287,R,0.2299316
Sweden2848,R,0.319747
Sweden2849,R,0.241511
Sweden2851,R,0.48085
Sweden2852,R,0.50185
Sweden2853,R,0.32085
Sweden2854,R,0.507115
Sweden2856,R,0.151763
Sweden9003,R,0.161271
Sweden2871,R,0.172355
Sweden2872,R,0.320698
Sweden2873,R,0.357698
Sweden2874,R,0.314698
Sweden2875,R,0.287698
Sweden2857,R,0.127926
Sweden2858,R,0.291926
Sweden2859,R,0.325926
Sweden2860,R,0.666926
Sweden2868,R,0.4311616
Sweden2869,R,0.1471714
Sweden2861,R,0.365926
Sweden2862,R,0.2945145
Sweden2863,R,0.3095145
Sweden2864,R,0.3125145
Sweden2865,R,0.2050888
Sweden2866,R,0.2270888
Sweden2895,R,0.319424
Sweden2897,R,0.483424
Sweden2898,R,0.205424
Sweden2900,R,0.365424
Sweden2901,R,0.398887
Sweden2876,R,0.371748
Sweden2879,R,0.535887
Sweden2880,R,0.473887
Sweden2881,R,0.435887
Sweden2882,R,0.478887
Sweden2883,R,0.279887
Sweden2884,R,0.587887
Sweden2886,R,0.303887
Sweden2888,R,0.410424
Sweden2902,R,0.315887
Sweden2904,R,0.493424
Sweden2905,R,0.398424
Sweden2906,R,0.367424
Sweden2907,R,0.352887
Sweden2908,R,0.365887
Sweden2909,R,0.321887
Sweden2910,R,0.568887
Sweden2911,R,0.713887
Sweden2912,R,0.380887
Sweden9098,R,0.215424
UnitedKingdom270,R,3.3676963
Belgium3186,R,0
Belgium3188,R,0.6504094
Belgium3201,R,0
Belgium3187,R,0
Belgium3189,R,0.6774094
Belgium3196,R,0
Belgium3197,R,0.3089023
Belgium3198,R,0
Belgium3199,R,0.42676953
Belgium3200,R,0
France33,R,0.3065575
France34,R,0.6815575
France35,R,0.5175575
France36,R,0.6145575
France44,R,0.6125575
France17,R,3.4858519
France18,R,0.6128519
France69,R,0.6258369
France70,R,0.5738369
France71,R,0.7193507
France72,R,0
France73,R,0
France74,R,0.7478369
France75,R,0.3033507
France76,R,0.3158369
France79,R,0.4605999
France80,R,0.4704518
France81,R,0.5054518
France82,R,0.2434518
France37,R,0.5285575
France38,R,0.4855575
France39,R,0.5055575
France40,R,0.4165575
France41,R,0.4415575
France42,R,0.4645575
France43,R,0.6075575
France45,R,0.5495575
France46,R,0.4215575
France47,R,0.3165575
France48,R,0.392359
France49,R,0.187359
France50,R,0.4404527
France51,R,0.621438
France52,R,0.4244527
France53,R,0.4264527
France54,R,0.2234527
France55,R,0.6624527
France56,R,0.3774527
France57,R,0.665438
France58,R,0.4369883
France59,R,0.5019883
France60,R,0.2379883
France61,R,0.2939883
France62,R,0.4999883
France63,R,0.6131251
France64,R,0.4411251
France65,R,0.4711251
France66,R,0.2061251
France67,R,0.5018369
France68,R,0.3188369
France8817,R,0.514359
France8823,R,0.3701251
France83,R,0.6284518
France84,R,0.7074518
France85,R,0.3204518
France86,R,0.3324518
France88,R,0.3084518
France90,R,0.2924518
France96,R,0.3264518
France8837,R,0.2534518
France8838,R,0.2624518
France93,R,0.2494518
France97,R,0.2583837
France94,R,0.1874518
France98,R,0.2203837
France99,R,0.1783837
France100,R,0.1793837
France101,R,0.2603415
France102,R,0.2393415
France103,R,0.1573415
France104,R,0.3393837
France105,R,0.1713837
France106,R,0.2843415
France3205,R,0
France3202,R,0
France3203,R,0
France3204,R,0
France3206,R,0.28287145
France3207,R,0
France3208,R,0.2268767
France3209,R,0.2078767
France3210,R,0.1959395
France3211,R,0.3229395
France3212,R,0.3789395
France3213,R,0.4159395
France3214,R,0.3629395
France3215,R,0.3949395
France3216,R,0.3378767
France3217,R,0.3338767
France3218,R,0.3118767
Germany3073,R,0.011078
Germany3033,R,0.1845312
Germany3074,R,0
Germany3075,R,0.0099722
Germany3076,R,0.3089722
Germany3077,R,0.2729722
Germany3078,R,0.3219722
Germany3079,R,0.4172993
Germany3080,R,0.2842993
Germany3081,R,0.2822993
Germany8934,R,0.323078
Germany3026,R,8.2705e-4
Germany3027,R,0.31982705
Germany3028,R,0.43282705
Germany3029,R,0.40282705
Germany3030,R,0.21082705
Germany3032,R,0.3608876
Germany3082,R,0.2322993
Germany3083,R,0.0099722
Germany3084,R,0.2519722
Germany3085,R,0.2819722
Germany3086,R,0.2712993
Germany3087,R,0.2052993
Germany3088,R,0.2639722
Germany3089,R,0.0099722
Germany3090,R,0.3859722
Germany3091,R,0
Germany3092,R,0
Germany3093,R,0.0018325
Germany3094,R,0.3369722
Germany3095,R,0.0099722
Germany3096,R,0
Netherlands3097,R,0
Netherlands3185,R,0
Netherlands3190,R,0
Netherlands3195,R,0
Netherlands3100,R,0.3977817
Netherlands8875,R,0.3797817
Netherlands3102,R,0
Netherlands3104,R,0
Netherlands3105,R,0.29430726
Netherlands3106,R,0
Netherlands3107,R,0
Netherlands3108,R,0
Netherlands3111,R,0
Netherlands3112,R,0
Netherlands3147,R,0.32712203
Netherlands3148,R,0
Netherlands3152,R,0
Netherlands8871,R,0.33530726
Netherlands8872,R,0
Netherlands8873,R,0.29330726
Netherlands3109,R,0.41130726
Netherlands3113,R,0
Netherlands3114,R,0.55312203
Netherlands3115,R,0
Netherlands3117,R,0
Netherlands3118,R,0
Netherlands3119,R,0
Netherlands3120,R,0
Netherlands3121,R,0
Netherlands3122,R,0
Netherlands3145,R,0
Netherlands3149,R,0
Netherlands3150,R,0
Netherlands3151,R,0
Netherlands8876,R,2.64812203
Netherlands8877,R,1.37112203
Netherlands8878,R,1.01712203
Netherlands8879,R,1.62612203
Netherlands8880,R,0.79512203
Netherlands8881,R,0.83630726
Netherlands8882,R,0.84330726
Netherlands8883,R,1.82630726
Netherlands8884,R,0.67730726
Netherlands8885,R,0.8357817
Netherlands8887,R,0.3867817
Netherlands8888,R,0.51212203
Netherlands3131,R,0
Netherlands3132,R,0
Netherlands3133,R,0
Netherlands3144,R,0
Netherlands3128,R,0
Netherlands3129,R,0.6947817
Netherlands3130,R,0
Netherlands8897,R,1.2203e-4
Netherlands8898,R,0
Netherlands8899,R,0
Netherlands8900,R,0
Netherlands8902,R,0
Netherlands8904,R,0
Netherlands8906,R,0
Netherlands3134,R,0
Netherlands3135,R,0
Netherlands3136,R,0.3537817
Norway9197,R,0.224474
Norway9204,R,0.243474
Norway2758,R,0.244981
Norway2761,R,0.226362
Norway2771,R,0.321362
Norway2773,R,0.39384
Norway8921,R,0.33384
Norway2764,R,0.361362
Norway2765,R,0.340362
Norway2766,R,0.371362
Norway2767,R,0.371362
Norway2768,R,0.369362
Norway2769,R,0.342362
Norway2770,R,0.324362
Norway2775,R,0.387383
Norway2776,R,0.409383
Norway2777,R,0.448383
Norway2778,R,3.405383
Norway2779,R,0.418383
Norway8857,R,0.360727
Norway8870,R,0.398383
Norway8874,R,0.372383
Norway8889,R,0.250383
Norway8908,R,0.36266
Norway8914,R,0.27966
Norway8915,R,0.36266
Norway8916,R,0.45566
Norway8918,R,0.11366
Norway8920,R,0.22684000000000001
Norway8922,R,0.12584
Norway2783,R,0.133937
Norway8842,R,0.1335706
Norway2825,R,0.428206
Norway2831,R,0.229206
Norway2833,R,0.233206
Norway8846,R,0.161937
Norway2784,R,0.225937
Norway2785,R,0.225937
Norway2786,R,0.349937
Norway2787,R,0.239937
Norway2788,R,0.269937
Norway2789,R,0.264937
Norway2790,R,0.260937
Norway2791,R,0.188937
Norway2792,R,0.183937
Norway2793,R,0.155937
Norway2794,R,0.304937
Norway2795,R,0.319937
Norway2796,R,0.319937
Norway2797,R,0.158937
Norway2798,R,0.543937
Norway2799,R,0.359937
Norway2800,R,0.178937
Norway8845,R,0.166937
Norway8860,R,0.267937
Norway8861,R,0.251937
Norway8862,R,0.233937
Norway8863,R,0.229937
Norway8864,R,0.349937
Norway8865,R,0.349937
Norway8867,R,0.353937
Norway8868,R,0.234937
Norway2804,R,0.242937
Norway8859,R,0.139937
Norway2834,R,0.224751
Norway2835,R,0.411751
Norway2836,R,0.377751
Norway2837,R,0.279751
Norway2838,R,0.450751
Norway2839,R,0.245751
Norway2840,R,0.342751
Norway2841,R,0.353751
Norway2843,R,0.330206
Norway2844,R,0.314206
Norway2845,R,0.301206
Norway2846,R,0.355206
Norway2823,R,0.180824
Norway2827,R,0.156206
Norway2828,R,0.174883
Norway2829,R,0.232883
Norway2821,R,0.211319
Norway2807,R,0.306865
Norway2809,R,0.370865
Norway2810,R,0.142865
Norway2811,R,0.336865
Norway2812,R,0.178865
Norway2813,R,0.241865
Norway2815,R,1.310865
Norway2816,R,0.156865
Norway8853,R,0.164865
Norway2820,R,0.299319
Portugal175,R,0.142606
Portugal176,R,0.169606
Portugal177,R,0.230606
Portugal178,R,0.235606
Portugal179,R,0.2729687
Portugal180,R,0.3959687
Portugal181,R,0.2239687
Portugal182,R,0.3519687
Portugal183,R,0.3169687
Portugal184,R,0.2549687
Portugal185,R,0.2499687
Portugal186,R,0.5719687
Portugal187,R,0.2329687
Portugal188,R,0.1919687
Portugal189,R,0.2529687
Portugal190,R,0.3568427
Portugal191,R,0.3568427
Portugal195,R,0.3308427
Portugal197,R,0.2638427
Portugal198,R,0.2748427
Portugal199,R,0.2708427
Portugal201,R,0.1598427
Portugal202,R,0.1638097
Portugal203,R,0.1738385
Portugal204,R,0.2588097
Portugal205,R,0.2738097
Portugal206,R,0.2708097
Portugal207,R,0.1748097
Portugal208,R,0.20780970000000001
Portugal209,R,0.2978097
Portugal210,R,0.4508097
Portugal211,R,0.1418097
Portugal212,R,0.2008097
Portugal213,R,0.2118385
Portugal214,R,0.1888385
Portugal215,R,0.1618385
Portugal216,R,0.1728385
Portugal217,R,0.1728385
Portugal220,R,0.7118385
Portugal222,R,0.5788385
Portugal223,R,0.6478385
Portugal224,R,0.5348385
Portugal225,R,0.5338385
Portugal226,R,0.4038385
Portugal227,R,0.3001996
Portugal228,R,0.4111996
Portugal229,R,0.4921996
Portugal230,R,0.3501996
Portugal231,R,0.2131996
Portugal232,R,0.4239087
Portugal233,R,0.5959087
Portugal234,R,0.5989087
Portugal235,R,0.3199087
Portugal236,R,0.5169087
Portugal237,R,0.5519087
Portugal238,R,0.5959087
Portugal239,R,0.7389087
Portugal240,R,0.6899087
Portugal241,R,0.5469087
Portugal242,R,1.0889087
Portugal243,R,0.7269087
Portugal244,R,0.8329087
Portugal245,R,0.6749087
Portugal246,R,0.7809087
Portugal247,R,0.2313851
Portugal248,R,0.6263851
Spain123,R,3.4474461
Spain145,R,0.523606
Spain136,R,0.26156929
Spain146,R,0.644606
Spain147,R,0.406606
Spain148,R,0.492606
Spain149,R,0.556606
Spain150,R,3.4616325
Spain151,R,0.4626325
Spain152,R,0.3046325
Spain153,R,0.2786325
Spain154,R,0.2796325
Spain155,R,0.2706325
Spain156,R,0.4316325
Spain157,R,0.1556325
Spain158,R,0.1886325
Spain159,R,0.179428
Spain160,R,0.230428
Spain161,R,0.262428
Spain162,R,0
Spain163,R,0.327428
Spain164,R,0.5048698
Spain165,R,0.4698698
Spain166,R,0.2298546
Spain167,R,0.5118546
Spain168,R,0.2768546
Spain169,R,0.2188546
Spain170,R,0.4208546
Spain171,R,0.0038546
Spain172,R,0.3118546
Spain173,R,0.3398546
Spain174,R,0.3108546
Spain137,R,0.31856929
Spain138,R,0.42956929
Spain139,R,3.39756929
Spain140,R,0.42656929
Spain141,R,0.16356929
Spain142,R,0.38056929
Spain143,R,0.16356929
Spain135,R,0.2977533
Spain107,R,0.44777729
Spain124,R,0.4917533
Spain125,R,0.6267533
Spain126,R,0.6277533
Spain127,R,0.5187533
Spain128,R,0.7287533
Spain129,R,0.4987199
Spain130,R,0.2337199
Spain131,R,0.3837199
Spain132,R,0.3647199
Spain133,R,0.41577729
Spain134,R,3.40577729
Spain108,R,3.45377729
Spain109,R,3.41977729
Spain110,R,3.54477729
Spain111,R,0.51377729
Spain112,R,0.44177729
Spain113,R,0.28477729
Spain114,R,0.44577729
Spain115,R,0.44877729
Spain116,R,0.29377729
Spain117,R,0.4484461
Spain118,R,3.4564461
Spain119,R,0.3884461
Spain120,R,0.2664461
Spain121,R,0.4094461
Spain122,R,0.2964461
UnitedKingdom8825,R,0.7555575
Albania504,R,0.2604816
Estonia2949,R,0.400017
Estonia9203,R,0.363917
Estonia9210,R,0.441635
Estonia9211,R,0.452917
Georgia664,R,0.3650492
Greece538,R,0.513296
Greece541,R,0.3793561
Greece9240,R,0.2173561
Greece528,R,0.381619
Greece529,R,0.480619
Greece530,R,0.735619
Greece531,R,0.422619
Greece532,R,0.489619
Greece534,R,3.294296
Greece535,R,0.313296
Greece536,R,0.342296
Greece537,R,0.389296
Greece527,R,0.012619
Greece507,R,0.2224816
Greece9230,R,0.211803
Greece512,R,0.298708
Greece514,R,0.293708
Greece516,R,0.011113
Greece517,R,0.199708
Greece521,R,0.357708
Greece9233,R,0.011183
Greece9236,R,0.011183
Greece9237,R,0.011183
Greece9239,R,0.011183
Greece9248,R,0.011183
Greece9249,R,0.011183
Greece9250,R,0.011183
Greece9251,R,0.011183
Greece9252,R,0.127816
Greece9253,R,0.124816
Greece9254,R,0.010816
Greece9256,R,0.2321333
Greece9257,R,0.0039573
Greece508,R,0.2524816
Greece510,R,0.089171
Greece511,R,0.089171
Greece524,R,0.089171
Greece9229,R,0.235113
Greece9231,R,0.410764
Greece9216,R,0.2244816
Greece9219,R,0.2183451
KoreaDemPeoplesRep2491,R,0.2545743
Latvia2954,R,0.5792924
Latvia2955,R,0.1672924
Latvia2956,R,0.3412924
Latvia2958,R,0.6412924
Latvia2959,R,0.4312907
Lithuania2960,R,0.692041018
Lithuania2961,R,0.617041018
Lithuania2962,R,0.397041018
Lithuania2963,R,0.604041018
Lithuania2964,R,0.674041018
Lithuania2965,R,0.514041018
Lithuania2966,R,0.467041018
Lithuania2967,R,0.230041018
Lithuania2970,R,0.230041018
Lithuania2971,R,0.669041018
Lithuania2972,R,0.621041018
Lithuania2973,R,0.664041018
Lithuania2974,R,4.1e-5
Malta9113,R,0.37738042
Netherlands3137,R,0.5777817
Netherlands3138,R,0.5557817
Netherlands3139,R,0
Netherlands3140,R,0.5247817
Netherlands3141,R,0.7767817
Netherlands3142,R,0.2647817
Netherlands3143,R,0
Netherlands3146,R,0
Netherlands3153,R,0
Netherlands3154,R,0
Netherlands3155,R,0.0014094
Netherlands3156,R,0
Netherlands3157,R,0
Netherlands3158,R,0
Netherlands3159,R,0.0069874
Netherlands3160,R,0
Netherlands3161,R,0.0014094
Netherlands3162,R,0.0014094
Netherlands3164,R,0.0014094
Netherlands3165,R,0
Netherlands3167,R,0.3864094
Netherlands3168,R,0
Netherlands3169,R,0
Netherlands3170,R,0.7964094
